Episode,Reward
0,-66.4
1,-65.9
2,-65.06666666666666
3,-63.6
4,-61.8
5,-61.4
6,-60.2
7,-58.75
8,-57.68888888888889
9,-56.26
10,-54.02
11,-51.88
12,-50.5
13,-49.12
14,-48.78
15,-47.56
16,-46.9
17,-46.5
18,-46.6
19,-47.0
20,-46.86
21,-46.8
22,-46.48
23,-46.56
24,-46.02
25,-45.8
26,-46.02
27,-46.22
28,-45.94
29,-45.8
30,-46.88
31,-47.84
32,-47.4
33,-47.14
34,-47.18
35,-47.54
36,-47.56
37,-47.58
38,-47.56
39,-47.54
40,-46.14
41,-44.96
42,-45.16
43,-45.52
44,-45.48
45,-45.02
46,-45.12
47,-45.28
48,-45.1
49,-44.8
50,-45.58
51,-45.82
52,-46.06
53,-46.26
54,-45.98
55,-45.74
56,-45.38
57,-45.18
58,-45.18
59,-45.4
60,-44.82
61,-44.44
62,-44.3
63,-44.14
64,-44.26
65,-44.52
66,-44.46
67,-44.4
68,-45.06
69,-45.06
70,-45.46
71,-46.22
72,-46.02
73,-46.0
74,-45.84
75,-45.86
76,-45.76
77,-45.98
78,-45.3
79,-45.14
80,-45.24
81,-44.82
82,-45.26
83,-44.88
84,-45.0
85,-45.08
86,-44.74
87,-44.48
88,-44.32
89,-44.04
90,-43.96
91,-44.48
92,-44.44
93,-44.78
94,-44.84
95,-44.76
96,-44.98
97,-44.64
98,-44.72
99,-44.78
