Episode,Reward
0,-68.55
1,-67.1
2,-66.38
3,-66.68
4,-67.44
5,-67.54
6,-67.42
7,-66.1
8,-64.78
9,-64.76
10,-65.48
11,-66.36
12,-65.64
13,-64.58
14,-64.6
15,-63.8
16,-63.5
17,-61.48
18,-61.6
19,-61.76
20,-62.2
21,-62.48
22,-61.94
23,-61.94
24,-61.12
25,-60.34
26,-58.2
27,-56.92
28,-57.36
29,-57.22
30,-56.48
31,-56.92
32,-56.84
33,-56.18
34,-57.36
35,-58.26
36,-57.3
37,-56.12
38,-56.78
39,-55.66
40,-54.88
41,-53.04
42,-52.34
43,-51.94
44,-52.26
45,-52.82
46,-53.08
47,-51.86
48,-52.2
49,-51.62
50,-51.1
51,-50.14
52,-50.78
53,-50.56
54,-49.36
55,-49.42
56,-48.06
57,-48.62
58,-49.2
59,-48.24
60,-47.76
61,-47.98
62,-48.02
63,-47.64
64,-47.58
65,-46.96
66,-47.38
67,-47.0
68,-47.22
69,-46.3
70,-46.92
71,-47.02
72,-45.64
73,-46.24
74,-46.72
75,-47.02
76,-48.24
77,-47.2
78,-46.1
79,-45.44
80,-44.68
81,-45.48
82,-46.44
83,-46.66
84,-46.54
85,-45.68
86,-45.96
87,-46.34
88,-46.98
89,-45.66
90,-44.84
91,-45.3
92,-46.28
93,-46.96
94,-46.46
95,-44.96
96,-43.94
97,-44.52
98,-43.78
99,-45.08
